emoji,fr_signification,unicode,en_signification
🏋🏿, personne poids de levage tonus de la peau sombre ,\U0001f3cb\U0001f3ff,person lifting weights dark skin tone
🏋🏻, personne poids de levage carnation lumière ,\U0001f3cb\U0001f3fb,person lifting weights light skin tone
🏋🏾, personne poids de levage moyen foncé teint ,\U0001f3cb\U0001f3fe,person lifting weights medium-dark skin tone
🏋🏼, personne teint moyen-léger poids de levage ,\U0001f3cb\U0001f3fc,person lifting weights medium-light skin tone
🏋🏽, personne poids de levage moyen carnation ,\U0001f3cb\U0001f3fd,person lifting weights medium skin tone
🚵, montagne cycliste ,\U0001f6b5,mountain bicyclist
🚵🏿, personne VTT teint foncé ,\U0001f6b5\U0001f3ff,person mountain biking dark skin tone
🚵🏻, montagne personne vélo carnation lumière ,\U0001f6b5\U0001f3fb,person mountain biking light skin tone
🚵🏾, personne vélo de montagne moyen foncé tonus de la peau ,\U0001f6b5\U0001f3fe,person mountain biking medium-dark skin tone
🚵🏼, personne teint moyen-lumière VTT ,\U0001f6b5\U0001f3fc,person mountain biking medium-light skin tone
🚵🏽, personne carnation moyenne VTT ,\U0001f6b5\U0001f3fd,person mountain biking medium skin tone
🤾, personne handball de jeu ,\U0001f93e,person playing handball
🤾🏿, personne carnation jouant au handball foncé ,\U0001f93e\U0001f3ff,person playing handball dark skin tone
🤾🏻, personne qui joue au handball teint clair ,\U0001f93e\U0001f3fb,person playing handball light skin tone
🤾🏾, personne qui joue au handball teint moyen foncé ,\U0001f93e\U0001f3fe,person playing handball medium-dark skin tone
🤾🏼, personne jouant moyen de handball tonus de la peau -light ,\U0001f93e\U0001f3fc,person playing handball medium-light skin tone
🤾🏽, personne qui joue le teint moyen de handball ,\U0001f93e\U0001f3fd,person playing handball medium skin tone
🤽, personne jouer au water-polo ,\U0001f93d,person playing water polo
🤽🏿, personne qui joue le water-polo carnation foncée ,\U0001f93d\U0001f3ff,person playing water polo dark skin tone
🤽🏻, personne qui joue le water-polo carnation lumière ,\U0001f93d\U0001f3fb,person playing water polo light skin tone
🤽🏾, personne qui joue l'eau ton polo peau moyenne foncé ,\U0001f93d\U0001f3fe,person playing water polo medium-dark skin tone
🤽🏼, personne qui joue au water-polo moyen-léger peau ton ,\U0001f93d\U0001f3fc,person playing water polo medium-light skin tone
🤽🏽, personne qui joue l'eau carnation polo moyenne ,\U0001f93d\U0001f3fd,person playing water polo medium skin tone
🙎, personne faisant la moue visage ,\U0001f64e,person with pouting face
🙎🏿, personne faisant la moue carnation foncée ,\U0001f64e\U0001f3ff,person pouting dark skin tone
🙎🏻, personne faisant la moue carnation lumière ,\U0001f64e\U0001f3fb,person pouting light skin tone
🙎🏾, personne faisant la moue carnation moyenne noir ,\U0001f64e\U0001f3fe,person pouting medium-dark skin tone
🙎🏼, personne teint moyen-lumière moue ,\U0001f64e\U0001f3fc,person pouting medium-light skin tone
🙎🏽, personne carnation moyenne moue ,\U0001f64e\U0001f3fd,person pouting medium skin tone
🙋, levant la main ,\U0001f64b,raising hand
🙋🏿, personne qui élève le teint main noir ,\U0001f64b\U0001f3ff,person raising hand dark skin tone
🙋🏻, personne levant la main teint lumière ,\U0001f64b\U0001f3fb,person raising hand light skin tone
🙋🏾, personne qui élève le teint moyen foncé main ,\U0001f64b\U0001f3fe,person raising hand medium-dark skin tone
🙋🏼, personne qui élève le teint moyen lumière main ,\U0001f64b\U0001f3fc,person raising hand medium-light skin tone
🙋🏽, personne qui élève le teint moyen de la main ,\U0001f64b\U0001f3fd,person raising hand medium skin tone
🚣, rowboat ,\U0001f6a3,rowboat
🚣🏿, personne rowi ng teint bateau noir ,\U0001f6a3\U0001f3ff,person rowing boat dark skin tone
🚣🏻, personne bateau avec rames ton de peau claire ,\U0001f6a3\U0001f3fb,person rowing boat light skin tone
🚣🏾, peau personne bateau à rames moyen noir ton ,\U0001f6a3\U0001f3fe,person rowing boat medium-dark skin tone
🚣🏼, peau personne moyenne lumière bateau avec rames ton ,\U0001f6a3\U0001f3fc,person rowing boat medium-light skin tone
🚣🏽, personne aviron carnation moyenne bateau ,\U0001f6a3\U0001f3fd,person rowing boat medium skin tone
🏃, course ,\U0001f3c3,running
🏃🏿, personne courir le teint foncé ,\U0001f3c3\U0001f3ff,person running dark skin tone
🏃🏻, personne courir peau claire ton ,\U0001f3c3\U0001f3fb,person running light skin tone
🏃🏾, personne en cours d'exécution moyen foncé carnation ,\U0001f3c3\U0001f3fe,person running medium-dark skin tone
🏃🏼, personne courir le teint moyen de lumière ,\U0001f3c3\U0001f3fc,person running medium-light skin tone
🏃🏽, personne qui exécute le teint moyen ,\U0001f3c3\U0001f3fd,person running medium skin tone
🤷, personne haussant les épaules ,\U0001f937,person shrugging
🤷🏿, personne haussant les épaules teint foncé ,\U0001f937\U0001f3ff,person shrugging dark skin tone
🤷🏻, personne haussant les épaules teint clair ,\U0001f937\U0001f3fb,person shrugging light skin tone
🤷🏾, personne haussant les épaules teint moyen foncé ,\U0001f937\U0001f3fe,person shrugging medium-dark skin tone
🤷🏼, personne moyenne haussant les épaules carnation -light ,\U0001f937\U0001f3fc,person shrugging medium-light skin tone
🤷🏽, personne haussant les épaules carnation moyenne ,\U0001f937\U0001f3fd,person shrugging medium skin tone
🧍, personne debout ,\U0001f9cd,person standing
🏄, surfeur ,\U0001f3c4,surfer
🏄🏿, personne surfing teint foncé ,\U0001f3c4\U0001f3ff,person surfing dark skin tone
🏄🏻, personne surfant sur le ton de la peau claire ,\U0001f3c4\U0001f3fb,person surfing light skin tone
🏄🏾, personne teint moyen foncé surf ,\U0001f3c4\U0001f3fe,person surfing medium-dark skin tone
🏄🏼, personne carnation moyenne lumière surf ,\U0001f3c4\U0001f3fc,person surfing medium-light skin tone
🏄🏽, personne carnation moyenne de surf ,\U0001f3c4\U0001f3fd,person surfing medium skin tone
🏊, nageur ,\U0001f3ca,swimmer
🏊🏿, personne natation teint foncé ,\U0001f3ca\U0001f3ff,person swimming dark skin tone
🏊🏻, personne natation teint clair ,\U0001f3ca\U0001f3fb,person swimming light skin tone
🏊🏾, personne teint moyen foncé natation ,\U0001f3ca\U0001f3fe,person swimming medium-dark skin tone
🏊🏼, personne teint moyen-lumière nage ,\U0001f3ca\U0001f3fc,person swimming medium-light skin tone
🏊🏽, personne carnation moyenne de natation ,\U0001f3ca\U0001f3fd,person swimming medium skin tone
🛀, bain ,\U0001f6c0,bath
🛀🏿, personne qui prend le teint bain noir ,\U0001f6c0\U0001f3ff,person taking bath dark skin tone
🛀🏻, personne qui prend un bain peau claire ton ,\U0001f6c0\U0001f3fb,person taking bath light skin tone
🛀🏾, personne en prenant la peau moyenne foncé bain ton ,\U0001f6c0\U0001f3fe,person taking bath medium-dark skin tone
🛀🏼, personne qui prend le ton de la peau moyenne lumière bain ,\U0001f6c0\U0001f3fc,person taking bath medium-light skin tone
🛀🏽, personne qui prend un bain moyen teint ,\U0001f6c0\U0001f3fd,person taking bath medium skin tone
💁, Bureau d'information personne ,\U0001f481,information desk person
💁🏿, personne main basculeur teint foncé ,\U0001f481\U0001f3ff,person tipping hand dark skin tone
💁🏻, personne main basculeur carnation lumière ,\U0001f481\U0001f3fb,person tipping hand light skin tone
💁🏾, personne basculement main teint moyen foncé ,\U0001f481\U0001f3fe,person tipping hand medium-dark skin tone
💁🏼, personne basculement carnation moyenne lumière main ,\U0001f481\U0001f3fc,person tipping hand medium-light skin tone
💁🏽, personne bascule carnation moyenne main ,\U0001f481\U0001f3fd,person tipping hand medium skin tone
🚶, marche ,\U0001f6b6,walking
🚶🏿, personne marche carnation sombre ,\U0001f6b6\U0001f3ff,person walking dark skin tone
🚶🏻, personne qui marche carnation lumière ,\U0001f6b6\U0001f3fb,person walking light skin tone
🚶🏾, personne teint moyen foncé marche ,\U0001f6b6\U0001f3fe,person walking medium-dark skin tone
🚶🏼, personne marche carnation moyenne lumière ,\U0001f6b6\U0001f3fc,person walking medium-light skin tone
🚶🏽, personne moyenne de marche carnation ,\U0001f6b6\U0001f3fd,person walking medium skin tone
👳, homme avec turban ,\U0001f473,man with turban
👳🏿, personne portant le teint turban noir ,\U0001f473\U0001f3ff,person wearing turban dark skin tone
👳🏻, personne portant un turban teint clair ,\U0001f473\U0001f3fb,person wearing turban light skin tone
👳🏾, personne portant le teint moyen foncé turban ,\U0001f473\U0001f3fe,person wearing turban medium-dark skin tone
👳🏼, personne portant le teint moyen clair turban ,\U0001f473\U0001f3fc,person wearing turban medium-light skin tone
👳🏽, personne portant le teint moyen turban ,\U0001f473\U0001f3fd,person wearing turban medium skin tone
🧫, plat petri ,\U0001f9eb,petri dish
⛏, choisir ,\u26cf,pick
🥧, tarte ,\U0001f967,pie
🐷, visage de porc ,\U0001f437,pig face
🐽, nez de cochon ,\U0001f43d,pig nose
💩, merde ,\U0001f4a9,shit
💊, pilule ,\U0001f48a,pill
🤏, pinçant main ,\U0001f90f,pinching hand
🎍, bambou ,\U0001f38d,bamboo
🍍, ananas ,\U0001f34d,pineapple
🏓, table de paddle-tennis et balle ,\U0001f3d3,table tennis paddle and ball
🏴‍☠️, drapeau de pirate ,\U0001f3f4\u200d\u2620\ufe0f,pirate flag
🔫, gun ,\U0001f52b,gun
🍕, Pizza ,\U0001f355,pizza
🛐, lieu de culte ,\U0001f6d0,place of worship
▶, flèche avant ,\u25b6,arrow forward
⏯, triangle pointant vers la droite en noir avec double barre verticale ,\u23ef,black right  pointing triangle with double vertical bar
🥺, plaidoirie visage ,\U0001f97a,pleading face
🚓, voiture de police ,\U0001f693,police car
🚨, gyrophare ,\U0001f6a8,rotating light
👮, cop ,\U0001f46e,cop
👮🏿, agent de police sombre carnation ,\U0001f46e\U0001f3ff,police officer dark skin tone
👮🏻, policier teint clair ,\U0001f46e\U0001f3fb,police officer light skin tone
👮🏾, peau moyenne noir policier ton ,\U0001f46e\U0001f3fe,police officer medium-dark skin tone
👮🏼, peau moyenne lumière policier ton ,\U0001f46e\U0001f3fc,police officer medium-light skin tone
👮🏽, policier moyen carnation ,\U0001f46e\U0001f3fd,police officer medium skin tone
🐩, poodle ,\U0001f429,poodle
🎱, 8ball ,\U0001f3b1,8ball
🍿, pop-corn ,\U0001f37f,popcorn
📯, corne postal ,\U0001f4ef,postal horn
📮, Postbox ,\U0001f4ee,postbox
🍲, ragoût ,\U0001f372,stew
🚰, eau potable ,\U0001f6b0,potable water
🥔, pommes de terre ,\U0001f954,potato
🍗, cuisse de volaille ,\U0001f357,poultry leg
💷, livre ,\U0001f4b7,pound
😾, moue chat ,\U0001f63e,pouting cat
😡, rage ,\U0001f621,rage
📿, perles de prière ,\U0001f4ff,prayer beads
🤰, femme enceinte ,\U0001f930,pregnant woman
🤰🏿, ton femme peau sombre enceinte ,\U0001f930\U0001f3ff,pregnant woman dark skin tone
🤰🏻, tonus femme peau claire enceinte ,\U0001f930\U0001f3fb,pregnant woman light skin tone
🤰🏾, teint moyen foncé femme enceinte ,\U0001f930\U0001f3fe,pregnant woman medium-dark skin tone
🤰🏼, tonus femme peau moyenne lumière enceinte ,\U0001f930\U0001f3fc,pregnant woman medium-light skin tone
🤰🏽, tonus femme peau moyenne enceinte ,\U0001f930\U0001f3fd,pregnant woman medium skin tone
🥨, bretzel ,\U0001f968,pretzel
🦯, sondage canne ,\U0001f9af,probing cane
🤴, prince ,\U0001f934,prince
🤴🏿, prince teint foncé ,\U0001f934\U0001f3ff,prince dark skin tone
🤴🏻, prince teint clair ,\U0001f934\U0001f3fb,prince light skin tone
🤴🏾, peau moyenne noir prince ton ,\U0001f934\U0001f3fe,prince medium-dark skin tone
🤴🏼, prince moyen léger teint ,\U0001f934\U0001f3fc,prince medium-light skin tone
🤴🏽, prince moyen teint ,\U0001f934\U0001f3fd,prince medium skin tone
👸, princesse ,\U0001f478,princess
👸🏿, princesse teint foncé ,\U0001f478\U0001f3ff,princess dark skin tone
👸🏻, teint lumière princesse ,\U0001f478\U0001f3fb,princess light skin tone
👸🏾, moyenne princesse teint -Dark ,\U0001f478\U0001f3fe,princess medium-dark skin tone
👸🏼, teint moyen-lumière princesse ,\U0001f478\U0001f3fc,princess medium-light skin tone
👸🏽, carnation moyenne princesse ,\U0001f478\U0001f3fd,princess medium skin tone
🖨, imprimante ,\U0001f5a8,printer
🚫, aucun signe d'entrée ,\U0001f6ab,no entry sign
🟣, cercle violet ,\U0001f7e3,purple circle
💜, coeur pourpre ,\U0001f49c,purple heart
🟪, carré violet ,\U0001f7ea,purple square
👛, bourse ,\U0001f45b,purse
📌, pushpin ,\U0001f4cc,pushpin
❓, question ,\u2753,question
🐰, visage de lapin ,\U0001f430,rabbit face
🦝, raton laveur ,\U0001f99d,raccoon
🏎, voiture de course ,\U0001f3ce,racing car
📻, radio ,\U0001f4fb,radio
🔘, bouton radio ,\U0001f518,radio button
☢, signe radioactif ,\u2622,radioactive sign
🚃, voiture ferroviaire ,\U0001f683,railway car
🛤, voie ferrée ,\U0001f6e4,railway track
🌈, arc ,\U0001f308,rainbow
🏳️‍🌈, drapeau arc-en-,\U0001f3f3\ufe0f\u200d\U0001f308,rainbow flag
🤚, élevé dos de la main ,\U0001f91a,raised back of hand
🤚🏿, soulevé dos de la main noire tonus de la peau ,\U0001f91a\U0001f3ff,raised back of hand dark skin tone
🤚🏻, soulevé dos de la main teint clair ,\U0001f91a\U0001f3fb,raised back of hand light skin tone
🤚🏾, élevé dos de teint moyen foncé main ,\U0001f91a\U0001f3fe,raised back of hand medium-dark skin tone
🤚🏼, élevé dos de teint moyen-lumière main ,\U0001f91a\U0001f3fc,raised back of hand medium-light skin tone
🤚🏽, élevé dos de teint moyen main ,\U0001f91a\U0001f3fd,raised back of hand medium skin tone
✊, poing ,\u270a,fist
✊🏿, levé le ton poing de la peau sombre ,\u270a\U0001f3ff,raised fist dark skin tone
✊🏻, soulevé la lumière poing tonus de la peau ,\u270a\U0001f3fb,raised fist light skin tone
✊🏾, soulevé le teint moyen foncé poing ,\u270a\U0001f3fe,raised fist medium-dark skin tone
✊🏼, soulevé le teint moyen de lumière poing ,\u270a\U0001f3fc,raised fist medium-light skin tone
✊🏽, soulevé le teint moyen poing ,\u270a\U0001f3fd,raised fist medium skin tone
✋, main ,\u270b,hand
✋🏿, levé la main teint foncé ,\u270b\U0001f3ff,raised hand dark skin tone
✋🏻, soulevé main teint lumière ,\u270b\U0001f3fb,raised hand light skin tone
✋🏾, Lever la main teint moyen foncé ,\u270b\U0001f3fe,raised hand medium-dark skin tone
✋🏼, élevé moyen de la main teint -light ,\u270b\U0001f3fc,raised hand medium-light skin tone
✋🏽, soulevé le teint moyen de la main ,\u270b\U0001f3fd,raised hand medium skin tone
🙌, mains levées ,\U0001f64c,raised hands
🙌🏿, levant les mains le teint foncé ,\U0001f64c\U0001f3ff,raising hands dark skin tone
🙌🏻, soulevant les mains teint clair ,\U0001f64c\U0001f3fb,raising hands light skin tone
🙌🏾, élever peau moyenne noir ton mains ,\U0001f64c\U0001f3fe,raising hands medium-dark skin tone
🙌🏼, soulevant la peau moyenne lumière ton mains ,\U0001f64c\U0001f3fc,raising hands medium-light skin tone
🙌🏽, milieu d'élevage carnation mains ,\U0001f64c\U0001f3fd,raising hands medium skin tone
🐏, ram ,\U0001f40f,ram
🐀, rat ,\U0001f400,rat
🪒, rasoir ,\U0001fa92,razor
🪐, planète annelé ,\U0001fa90,ringed planet
🧾, réception ,\U0001f9fe,receipt
⏺, cercle noir pour l'enregistrement ,\u23fa,black circle for record
♻, recyclage ,\u267b,recycle
🍎, apple ,\U0001f34e,apple
🔴, cercle rouge ,\U0001f534,red circle
🧧, enveloppe rouge ,\U0001f9e7,red envelope
🦰, cheveux rouge ,\U0001f9b0,red hair
👨‍🦰, rouquin ,\U0001f468\u200d\U0001f9b0,red-haired man
👩‍🦰, femme rousse ,\U0001f469\u200d\U0001f9b0,red-haired woman
❤, coeur ,\u2764,heart
🏮, lanterne ,\U0001f3ee,lantern
🟥, carré rouge ,\U0001f7e5,red square
🔻, petit vers le bas triangle rouge ,\U0001f53b,small red triangle down
🔺, petit triangle rouge ,\U0001f53a,small red triangle
®, enregistré ,\xae,registered
😌, soulagé ,\U0001f60c,relieved
🎗, ruban de rappel ,\U0001f397,reminder ribbon
🔁, répétition ,\U0001f501,repeat
🔂, une répétition ,\U0001f502,repeat one
⛑, casque avec la croix blanche ,\u26d1,helmet with white cross
🚻, toilettes ,\U0001f6bb,restroom
◀, flèche vers l'arrière ,\u25c0,arrow backward
💞, coeurs tournant ,\U0001f49e,revolving hearts
🦏, rhinocéros ,\U0001f98f,rhinoceros
🎀, nervure bon ,\U0001f380,ribbon
🍙, boule de riz ,\U0001f359,rice ball
🍘, biscuit salé de riz ,\U0001f358,rice cracker
🤜, poing vers la droite ,\U0001f91c,right-facing fist
🤜🏿, dirigée vers la droite carnation poing noir ,\U0001f91c\U0001f3ff,right-facing fist dark skin tone
🤜🏻, droit face à carnation poing lumière ,\U0001f91c\U0001f3fb,right-facing fist light skin tone
🤜🏾, dirigée vers la droite le teint moyen foncé poing ,\U0001f91c\U0001f3fe,right-facing fist medium-dark skin tone
🤜🏼, dirigée vers la droite le teint moyen de lumière poing ,\U0001f91c\U0001f3fc,right-facing fist medium-light skin tone
🤜🏽, droite -facing le teint moyen de poing ,\U0001f91c\U0001f3fd,right-facing fist medium skin tone
🗯, droite bulle de colère ,\U0001f5ef,right anger bubble
➡, flèche à droite,\u27a1,arrow right
⤵,flèche de descendre ,\u2935,arrow heading down
↩, vers la gauche flèche avec crochet ,\u21a9,leftwards arrow with hook
